,NEWID,Total expenses,Entertainment,Total Transportation cost,Total Housing,Total Food,Income before tax,Luxury expenses,FINATXEM,Income minus total expenses,possible savings
76,3568504,14099.6,294.0,1398.0,5683.0,1590.0,71200,5134.6,62719.0,1580.1499999999996,526.7166666666666
77,3568564,4717.75,0.0,637.0,1250.0,2301.0,4800,529.75,38594.2,4930.799999999999,1643.5999999999997
78,3568574,13133.75,686.0,2368.0,3074.0,2571.0,85000,4434.75,71182.0,4661.75,1553.9166666666667
79,3568584,13875.25,1022.0,1172.0,2261.0,2155.0,90016,7265.25,72260.0,4189.75,1396.5833333333333
80,3568624,30520.05,420.0,13062.0,4062.0,3520.0,130000,9456.05,123521.2,360.25,120.08333333333333
81,3568644,11061.0,230.0,1815.0,5459.0,2550.0,0,1007.0,21665.0,-5644.75,-1881.5833333333333
82,3568654,6849.75,0.0,2390.0,1578.0,1820.0,14808,1061.75,71804.6,11101.400000000001,3700.466666666667
83,3568684,11288.5,40.0,1798.0,3909.0,3445.0,21400,2096.5,26583.0,-4642.75,-1547.5833333333333
84,3568714,12941.05,54.0,1675.0,4026.0,950.0,43000,6236.049999999999,56644.8,1220.1500000000015,406.71666666666715
85,3568754,8206.1,265.0,2475.0,1890.0,1855.0,0,1721.1000000000004,54187.0,5340.65,1780.2166666666665
86,3568774,20735.0,586.0,3575.0,9501.0,2626.0,72000,4447.0,65798.0,-4285.5,-1428.5
87,3568804,29042.237,8080.0,1880.0,7780.0,3790.0,0,7512.237000000001,106090.2,-2519.6870000000017,-839.8956666666672
88,3568834,8090.0,528.0,2160.0,1244.0,325.0,30600,3833.0,37862.0,1375.5,458.5
89,3568884,5043.5,262.0,707.0,2526.0,1160.0,13200,388.5,12730.0,-1861.0,-620.3333333333334
90,3568944,4862.0,0.0,348.0,3138.0,975.0,32232,401.0,32232.0,3196.0,1065.3333333333333
91,3568964,20554.25,177.0,1980.0,14216.0,1430.0,90200,2751.25,81290.6,-231.59999999999854,-77.19999999999952
92,3568974,18372.0,363.0,245.0,4509.0,2360.0,46508,10895.0,28916.0,-11143.0,-3714.3333333333335
93,3568984,2720.0,210.0,545.0,789.0,780.0,24000,396.0,22504.2,2906.05,968.6833333333334
94,3569004,14066.0,495.0,1118.0,6309.0,2100.0,90606,4044.0,80288.0,6006.0,2002.0
95,3569014,20006.0,1465.0,6059.0,6698.0,2365.0,110284,3419.0,98007.0,4495.75,1498.5833333333333
96,3569044,5087.0,186.0,509.0,2331.0,1017.0,24600,1044.0,24923.6,1143.8999999999996,381.2999999999999
97,3569064,4833.0,223.0,650.0,1326.0,1300.0,28344,1334.0,28344.0,2253.0,751.0
98,3569074,46012.75,25033.0,5752.0,8954.0,1280.0,176120,4993.75,147095.0,-9239.0,-3079.6666666666665
99,3569104,4157.8,0.0,1306.0,1695.0,715.0,0,441.8000000000002,25403.0,2192.95,730.9833333333332
100,3569114,21121.65,30.0,4980.0,9369.0,3250.0,0,3492.6500000000015,66962.0,-4381.1500000000015,-1460.383333333334
101,3569184,5567.0,542.0,435.0,2706.0,987.0,0,897.0,32708.6,2610.1499999999996,870.0499999999998
102,3569194,3129.0,410.0,354.0,439.0,1456.0,56780,470.0,56044.0,10882.0,3627.3333333333335
103,3569204,18216.087,615.0,2439.0,7443.0,1300.0,146000,6419.0869999999995,151955.6,19772.813000000002,6590.937666666668
104,3569254,6772.0,477.0,1275.0,1864.0,1170.0,21600,1986.0,19992.0,-1774.0,-591.3333333333334
105,3569264,14563.0,0.0,3724.0,4470.0,2730.0,150000,3639.0,126114.0,16965.5,5655.166666666667
106,3569274,17985.75,1456.0,442.0,3006.0,4274.0,110000,8807.75,91959.0,5004.0,1668.0
107,3569324,8339.25,263.0,0.0,3172.0,2227.0,0,2677.25,64044.0,7671.75,2557.25
108,3569374,13700.3,10.0,1751.0,7827.0,1235.0,80500,2877.2999999999993,86526.0,7931.200000000001,2643.7333333333336
109,3569384,2922.0,0.0,0.0,2147.0,650.0,11160,125.0,11160.0,-132.0,-44.0
110,3569414,22677.0,2902.0,3778.0,8347.0,2744.0,25616,4906.0,25616.0,-16273.0,-5424.333333333333
111,3569464,3113.0,247.0,309.0,852.0,936.0,10584,769.0,10584.0,-467.0,-155.66666666666666
112,3569474,5662.5,87.0,2250.0,1968.0,715.0,20296,642.5,24891.0,560.25,186.75
113,3569494,11333.4,445.0,771.0,5582.0,2145.0,75000,2390.3999999999996,62026.2,4173.15,1391.05
114,3569504,9660.5,40.0,2009.0,1421.0,1430.0,86000,4760.5,75571.0,9232.25,3077.4166666666665
115,3569544,3446.5,0.0,466.0,2053.5,520.0,16068,407.0,16068.0,570.5,190.16666666666666
116,3569554,26554.0,742.0,900.0,6141.0,1950.0,224000,16821.0,179466.0,18312.5,6104.166666666667
117,3569564,10364.5,287.0,1080.0,3435.0,650.0,96383,4912.5,63903.9,5611.475,1870.4916666666668
118,3569594,7550.0,223.0,1805.0,2627.0,2405.0,51616,490.0,51616.0,5354.0,1784.6666666666667
119,3569624,10358.2,240.0,2464.0,2481.0,780.0,79000,4393.200000000001,96318.8,13721.5,4573.833333333333
120,3569634,16454.0,0.0,375.0,12619.0,280.0,24000,3180.0,32035.2,-8445.2,-2815.066666666667
121,3569664,3757.0,80.0,370.0,2100.0,181.0,23000,1026.0,21141.0,1528.25,509.4166666666667
122,3569684,4570.25,516.0,442.0,2127.5,975.0,37698,509.75,19314.4,258.35000000000036,86.11666666666679
123,3569714,7932.25,67.0,1309.0,3482.0,1032.0,27320,2042.25,56711.8,6245.700000000001,2081.9
124,3569724,34353.5,620.0,1750.0,14674.0,4550.0,183996,12759.5,161630.0,6054.0,2018.0
125,3569764,8539.1,429.0,1771.0,2876.0,1325.0,2000,2138.1000000000004,32105.6,-512.7000000000007,-170.90000000000023
126,3569774,4581.25,0.0,325.0,1890.0,780.0,26000,1586.25,23565.0,1310.0,436.6666666666667
127,3569794,6157.5,351.0,635.0,3064.0,650.0,35000,1457.5,30971.0,1585.25,528.4166666666666
128,3569804,23830.0,590.0,1175.0,4819.0,2484.0,136596,14762.0,122717.0,6849.25,2283.0833333333335
129,3569814,2803.0,235.0,612.0,1240.0,520.0,19662,196.0,19662.0,2112.5,704.1666666666666
130,3569834,10626.65,63.0,2503.0,3437.0,2071.0,65850,2552.6499999999996,58376.2,3967.3999999999996,1322.4666666666665
131,3569844,14861.75,225.0,688.0,4978.0,3250.0,69000,5720.75,65889.0,1610.5,536.8333333333334
132,3569874,7754.0,486.0,1589.0,2329.0,1625.0,21816,1725.0,22326.0,-2172.5,-724.1666666666666
133,3569894,3200.5,0.0,0.0,250.0,1690.0,20000,1260.5,18675.0,1468.25,489.4166666666667
134,3569904,26692.3,640.0,3474.0,18426.0,1825.0,73730,2327.2999999999993,75104.8,-7916.0999999999985,-2638.6999999999994
135,3569944,50092.0,2968.0,10185.0,18202.0,10195.0,107607,8542.0,96922.0,-25861.5,-8620.5
136,3569964,12322.7,0.0,3458.0,2949.0,1950.0,1608,3965.7000000000007,64571.8,3820.25,1273.4166666666667
137,3569974,6618.7,120.0,744.0,3728.0,1625.0,20000,401.6999999999998,26579.0,26.050000000000182,8.683333333333394
138,3569984,16449.0,742.0,2507.0,5729.0,2925.0,111880,4546.0,102884.0,9272.0,3090.6666666666665
139,3570004,5427.5,778.0,609.0,1716.0,884.0,81,1440.5,321.0,-5347.25,-1782.4166666666667
140,3570074,9449.0,139.0,956.0,4607.0,1755.0,0,1992.0,47883.2,2521.7999999999993,840.5999999999998
141,3570084,7930.0,219.0,920.0,4246.0,1790.0,20031,755.0,20106.0,-2903.5,-967.8333333333334
142,3570134,10810.0,364.0,371.0,3973.0,1105.0,65140,4997.0,63174.0,4983.5,1661.1666666666667
143,3570144,10929.25,526.0,1210.0,5083.0,2595.0,38100,1515.25,33931.0,-2446.5,-815.5
144,3570164,19169.75,1728.0,964.0,4849.0,3905.0,47000,7723.75,45225.0,-7863.5,-2621.1666666666665
145,3570194,8629.05,189.0,1260.0,2431.0,2145.0,58000,2604.0499999999993,54427.0,4977.700000000001,1659.2333333333336
146,3570204,9693.5,471.0,2378.0,2774.5,2700.0,40166,1370.0,40166.0,348.0,116.0
147,3570234,4879.85,301.0,660.0,3206.0,195.0,18008,517.8500000000004,16732.4,-696.75,-232.25
148,3570244,4955.7,0.0,0.0,3686.0,715.0,3000,554.6999999999998,18538.6,-321.0500000000002,-107.01666666666672
149,3570274,7671.2,235.0,1852.0,1925.0,1730.0,36056,1929.1999999999998,54784.8,6025.000000000001,2008.3333333333337
150,3570344,6300.85,380.0,900.0,1850.0,2080.0,0,1090.8500000000004,24838.0,-91.35000000000036,-30.45000000000012
151,3570354,12554.8,0.0,600.0,7892.0,2600.0,0,1462.7999999999993,43411.2,-1702.0,-567.3333333333334
152,3570384,8660.0,289.0,768.0,4817.0,845.0,41260,1941.0,43318.0,2169.5,723.1666666666666
153,3570404,4966.0,0.0,447.0,2877.0,923.0,19665,719.0,19665.0,-49.75,-16.583333333333332
154,3570414,9265.1,245.0,450.0,4133.5,3288.0,0,1148.6000000000004,53555.4,4123.75,1374.5833333333333
155,3570424,11965.55,332.0,2270.0,2904.0,2805.0,60000,3654.5499999999993,59819.8,2989.4000000000015,996.4666666666672
156,3570444,6049.0,270.0,1400.0,3600.5,585.0,0,193.5,18669.6,-1381.6000000000004,-460.5333333333335
157,3570484,30323.5,1855.0,3226.0,17660.0,3395.0,75000,4187.5,65883.0,-13852.75,-4617.583333333333
158,3570524,15968.35,377.0,2130.0,7044.0,2625.0,28608,3792.3500000000004,39451.8,-6105.4,-2035.1333333333332
159,3570534,10069.5,486.0,592.0,3381.0,995.0,0,4615.5,51831.6,2888.3999999999996,962.7999999999998
160,3570564,17301.1,1144.0,3944.0,7829.0,2604.0,0,1780.0999999999985,67375.8,-457.1499999999978,-152.38333333333262
161,3570574,3169.0,393.0,425.0,1254.0,637.0,1232,460.0,1232.0,-2861.0,-953.6666666666666
162,3570584,13677.9,953.0,2525.0,4865.0,2271.0,28008,3063.8999999999996,64775.8,2516.050000000001,838.6833333333337
