,Income_AT,Expenses,Housing,Food,Transport,Entertainment,Luxury,Age,Education,Inc_cat
2863,7313.116666666666,6648.483333333334,1611.3333333333333,1235.0,1730.3333333333333,196.66666666666666,2071.816666666667,46,10,8
2864,2999.9666666666667,1905.7166666666665,900.3333333333334,303.3333333333333,92.33333333333333,0.0,609.7166666666666,56,13,4
2865,1468.0,1473.0,476.6666666666667,173.33333333333334,275.0,0.0,548.0,78,10,1
2866,5282.033333333334,7888.779000000001,1517.6666666666667,4116.666666666667,875.0,146.33333333333334,1379.4456666666676,42,11,7
2867,5870.633333333334,5275.783333333334,1286.3333333333333,1386.6666666666667,1682.0,86.66666666666667,920.7833333333334,49,11,7
2868,1222.9166666666667,2846.6666666666665,736.0,970.6666666666666,132.0,99.0,1008.0,79,12,0
2869,8796.75,4298.583333333333,927.3333333333334,1324.0,615.0,93.66666666666667,1432.25,58,16,9
2870,1034.1333333333334,1952.6000000000001,670.0,628.3333333333334,427.0,58.0,227.26666666666674,55,15,0
2871,20518.133333333335,28565.779,12053.333333333334,2190.0,1936.6666666666667,7331.666666666667,12385.779,54,15,10
2872,6756.166666666667,5461.25,2122.6666666666665,756.6666666666666,1092.3333333333333,325.0,1489.5833333333333,36,15,8
2873,307.4166666666667,3800.4166666666665,2230.8333333333335,115.66666666666667,611.0,0.0,842.9166666666666,61,12,0
2874,1450.6666666666667,4548.0,3932.3333333333335,8.666666666666666,0.0,2.0,607.0,82,14,1
2875,3421.75,3822.75,1095.0,658.3333333333334,991.3333333333334,28.333333333333332,1078.0833333333333,30,15,5
2876,442.5,2025.9166666666667,950.3333333333334,693.3333333333334,53.333333333333336,11.666666666666666,328.9166666666667,44,13,0
2877,2548.0833333333335,1852.4166666666667,1118.3333333333333,446.6666666666667,34.666666666666664,51.333333333333336,252.75,35,12,4
2878,1316.3,1085.1666666666667,312.1666666666667,303.3333333333333,91.66666666666667,5.0,378.0,68,15,1
2879,4910.883333333333,2713.7000000000003,860.3333333333334,823.3333333333334,498.3333333333333,19.666666666666668,531.7000000000002,31,12,6
2880,4163.75,3161.6666666666665,843.0,697.6666666666666,1104.6666666666667,0.0,516.3333333333334,32,12,5
2881,2942.4166666666665,1886.5,913.3333333333334,173.33333333333334,286.0,13.0,513.8333333333334,35,13,4
2882,22593.649999999998,9534.779,4516.333333333333,523.3333333333334,1075.3333333333333,50.0,3419.779000000001,48,16,11
2883,4136.0,3822.0,1588.0,260.0,619.3333333333334,61.0,1354.6666666666667,37,15,5
2884,1274.0,1531.0,1209.3333333333333,238.33333333333334,36.666666666666664,0.0,46.666666666666664,35,13,1
2885,6446.916666666667,3909.75,1060.0,736.6666666666666,901.0,12.0,1212.0833333333333,37,12,7
2886,116.66666666666667,1368.9166666666667,985.0,325.0,50.0,0.0,8.916666666666666,28,12,0
2887,7941.45,4810.900000000001,1871.0,863.3333333333334,1083.6666666666667,93.33333333333333,992.9000000000002,62,12,8
2888,3274.75,1812.75,773.0,520.0,185.0,68.0,334.75,30,11,4
2889,4247.5,1977.0,753.3333333333334,303.3333333333333,460.0,6.666666666666667,460.3333333333333,32,14,6
2890,3759.6666666666665,8012.25,2688.0,651.0,930.3333333333334,404.3333333333333,3742.9166666666665,69,15,5
2891,7981.849999999999,6195.483333333334,1821.0,1263.0,971.0,398.0,2140.4833333333336,48,16,8
2892,316.6666666666667,3345.9166666666665,990.0,715.0,1300.0,100.0,340.9166666666667,51,14,0
2893,5230.666666666667,4634.75,647.6666666666666,650.0,2594.3333333333335,93.33333333333333,742.75,22,12,7
